season,round_name,team1,team2,winner
2014,R32,Arizona,Gonzaga,Arizona
2014,R32,Baylor,Creighton,Baylor
2014,R32,Connecticut,Villanova,Connecticut
2014,R32,Dayton,Syracuse,Dayton
2014,R32,Florida,Pittsburgh,Florida
2014,R32,Harvard,Michigan St.,Michigan St.
2014,R32,North Carolina,Iowa St.,Iowa St.
2014,R32,North Dakota St.,San Diego St.,San Diego St.
2014,R32,Oregon,Wisconsin,Wisconsin
2014,R32,Saint Louis,Louisville,Louisville
2014,R32,Stanford,Kansas,Stanford
2014,R32,Stephen F. Austin,UCLA,UCLA
2014,R32,Tennessee,Mercer,Tennessee
2014,R32,Texas,Michigan,Michigan
2014,R32,Virginia,Memphis,Virginia
2014,R32,Wichita St.,Kentucky,Kentucky
2014,S16,Arizona,San Diego St.,Arizona
2014,S16,Baylor,Wisconsin,Wisconsin
2014,S16,Dayton,Stanford,Dayton
2014,S16,Florida,UCLA,Florida
2014,S16,Iowa St.,Connecticut,Connecticut
2014,S16,Kentucky,Louisville,Kentucky
2014,S16,Tennessee,Michigan,Michigan
2014,S16,Virginia,Michigan St.,Michigan St.
2014,E8,Arizona,Wisconsin,Wisconsin
2014,E8,Florida,Dayton,Florida
2014,E8,Kentucky,Michigan,Kentucky
2014,E8,Michigan St.,Connecticut,Connecticut
2014,F4,Florida,Connecticut,Connecticut
2014,F4,Wisconsin,Kentucky,Kentucky
2014,Final,Connecticut,Kentucky,Connecticut
2015,R64,Arizona,Texas Southern,Arizona
2015,R64,Arkansas,Wofford,Arkansas
2015,R64,Baylor,Georgia St.,Georgia St.
2015,R64,Butler,Texas,Butler
2015,R64,Cincinnati,Purdue,Cincinnati
2015,R64,Duke,Robert Morris,Duke
2015,R64,Georgetown,Eastern Washington,Georgetown
2015,R64,Gonzaga,North Dakota St.,Gonzaga
2015,R64,Iowa,Davidson,Iowa
2015,R64,Iowa St.,UAB,UAB
2015,R64,Kansas,New Mexico St.,Kansas
2015,R64,Kentucky,Hampton,Kentucky
2015,R64,Louisville,UC Irvine,Louisville
2015,R64,Maryland,Valparaiso,Maryland
2015,R64,Michigan St.,Georgia,Michigan St.
2015,R64,North Carolina,Harvard,North Carolina
2015,R64,North Carolina St.,LSU,North Carolina St.
2015,R64,Northern Iowa,Wyoming,Northern Iowa
2015,R64,Notre Dame,Northeastern,Notre Dame
2015,R64,Oklahoma,Albany,Oklahoma
2015,R64,Oregon,Oklahoma St.,Oregon
2015,R64,Providence,Dayton,Dayton
2015,R64,SMU,UCLA,UCLA
2015,R64,San Diego St.,St. John's,San Diego St.
2015,R64,Utah,Stephen F. Austin,Utah
2015,R64,VCU,Ohio St.,Ohio St.
2015,R64,Villanova,Lafayette,Villanova
2015,R64,Virginia,Belmont,Virginia
2015,R64,West Virginia,Buffalo,West Virginia
2015,R64,Wichita St.,Indiana,Wichita St.
2015,R64,Wisconsin,Coastal Carolina,Wisconsin
2015,R64,Xavier,Mississippi,Xavier
2015,R32,Arkansas,North Carolina,North Carolina
2015,R32,Butler,Notre Dame,Notre Dame
2015,R32,Dayton,Oklahoma,Oklahoma
2015,R32,Duke,San Diego St.,Duke
2015,R32,Iowa,Gonzaga,Gonzaga
2015,R32,Kentucky,Cincinnati,Kentucky
2015,R32,Michigan St.,Virginia,Michigan St.
2015,R32,Northern Iowa,Louisville,Louisville
2015,R32,Ohio St.,Arizona,Arizona
2015,R32,UCLA,UAB,UCLA
2015,R32,Utah,Georgetown,Utah
2015,R32,Villanova,North Carolina St.,North Carolina St.
2015,R32,West Virginia,Maryland,West Virginia
2015,R32,Wichita St.,Kansas,Wichita St.
2015,R32,Wisconsin,Oregon,Wisconsin
2015,R32,Xavier,Georgia St.,Xavier
2015,S16,Duke,Utah,Duke
2015,S16,Kentucky,West Virginia,Kentucky
2015,S16,North Carolina St.,Louisville,Louisville
2015,S16,Notre Dame,Wichita St.,Notre Dame
2015,S16,Oklahoma,Michigan St.,Michigan St.
2015,S16,UCLA,Gonzaga,Gonzaga
2015,S16,Wisconsin,North Carolina,Wisconsin
2015,S16,Xavier,Arizona,Arizona
2015,E8,Duke,Gonzaga,Duke
2015,E8,Kentucky,Notre Dame,Kentucky
2015,E8,Louisville,Michigan St.,Michigan St.
2015,E8,Wisconsin,Arizona,Wisconsin
2015,F4,Kentucky,Wisconsin,Wisconsin
2015,F4,Michigan St.,Duke,Duke
2015,Final,Wisconsin,Duke,Duke
2016,R64,Arizona,Wichita St.,Wichita St.
2016,R64,Baylor,Yale,Yale
2016,R64,California,Hawaii,Hawaii
2016,R64,Colorado,Connecticut,Connecticut
2016,R64,Dayton,Syracuse,Syracuse
2016,R64,Duke,UNC Wilmington,Duke
2016,R64,Indiana,Chattanooga,Indiana
2016,R64,Iowa,Temple,Iowa
2016,R64,Iowa St.,Iona,Iowa St.
2016,R64,Kansas,Austin Peay,Kansas
2016,R64,Kentucky,Stony Brook,Kentucky
2016,R64,Maryland,South Dakota St.,Maryland
2016,R64,Miami FL,Buffalo,Miami FL
2016,R64,Michigan St.,Middle Tennessee,Middle Tennessee
2016,R64,North Carolina,Florida Gulf Coast,North Carolina
2016,R64,Notre Dame,Michigan,Notre Dame
2016,R64,Oklahoma,Cal St. Bakersfield,Oklahoma
2016,R64,Oregon,Holy Cross,Oregon
2016,R64,Oregon St.,VCU,VCU
2016,R64,Purdue,Little Rock,Little Rock
2016,R64,Saint Joseph's,Cincinnati,Saint Joseph's
2016,R64,Seton Hall,Gonzaga,Gonzaga
2016,R64,Texas,Northern Iowa,Northern Iowa
2016,R64,Texas A&M,Green Bay,Texas A&M
2016,R64,Texas Tech,Butler,Butler
2016,R64,USC,Providence,Providence
2016,R64,Utah,Fresno St.,Utah
2016,R64,Villanova,UNC Asheville,Villanova
2016,R64,Virginia,Hampton,Virginia
2016,R64,West Virginia,Stephen F. Austin,Stephen F. Austin
2016,R64,Wisconsin,Pittsburgh,Wisconsin
2016,R64,Xavier,Weber St.,Xavier
2016,R32,Gonzaga,Utah,Gonzaga
2016,R32,Indiana,Kentucky,Indiana
2016,R32,Iowa,Villanova,Villanova
2016,R32,Kansas,Connecticut,Kansas
2016,R32,Little Rock,Iowa St.,Iowa St.
2016,R32,Maryland,Hawaii,Maryland
2016,R32,North Carolina,Providence,North Carolina
2016,R32,Northern Iowa,Texas A&M,Texas A&M
2016,R32,Notre Dame,Stephen F. Austin,Notre Dame
2016,R32,Oregon,Saint Joseph's,Oregon
2016,R32,Syracuse,Middle Tennessee,Syracuse
2016,R32,VCU,Oklahoma,Oklahoma
2016,R32,Virginia,Butler,Virginia
2016,R32,Wichita St.,Miami FL,Miami FL
2016,R32,Wisconsin,Xavier,Wisconsin
2016,R32,Yale,Duke,Duke
2016,S16,Gonzaga,Syracuse,Syracuse
2016,S16,Kansas,Maryland,Kansas
2016,S16,Miami FL,Villanova,Villanova
2016,S16,North Carolina,Indiana,North Carolina
2016,S16,Notre Dame,Wisconsin,Notre Dame
2016,S16,Oregon,Duke,Oregon
2016,S16,Texas A&M,Oklahoma,Oklahoma
2016,S16,Virginia,Iowa St.,Virginia
2016,E8,Kansas,Villanova,Villanova
2016,E8,North Carolina,Notre Dame,North Carolina
2016,E8,Oregon,Oklahoma,Oklahoma
2016,E8,Virginia,Syracuse,Syracuse
2016,F4,North Carolina,Syracuse,North Carolina
2016,F4,Villanova,Oklahoma,Villanova
2016,Final,Villanova,North Carolina,Villanova
2017,R64,Arizona,North Dakota,Arizona
2017,R64,Arkansas,Seton Hall,Arkansas
2017,R64,Baylor,New Mexico St.,Baylor
2017,R64,Butler,Winthrop,Butler
2017,R64,Cincinnati,Kansas St.,Cincinnati
2017,R64,Creighton,Rhode Island,Rhode Island
2017,R64,Dayton,Wichita St.,Wichita St.
2017,R64,Duke,Troy,Duke
2017,R64,Florida,East Tennessee St.,Florida
2017,R64,Florida St.,Florida Gulf Coast,Florida St.
2017,R64,Gonzaga,South Dakota St.,Gonzaga
2017,R64,Iowa St.,Nevada,Iowa St.
2017,R64,Kansas,UC Davis,Kansas
2017,R64,Kentucky,Northern Kentucky,Kentucky
2017,R64,Louisville,Jacksonville St.,Louisville
2017,R64,Maryland,Xavier,Xavier
2017,R64,Miami FL,Michigan St.,Michigan St.
2017,R64,Michigan,Oklahoma St.,Michigan
2017,R64,Minnesota,Middle Tennessee,Middle Tennessee
2017,R64,North Carolina,Texas Southern,North Carolina
2017,R64,Northwestern,Vanderbilt,Northwestern
2017,R64,Notre Dame,Princeton,Notre Dame
2017,R64,Oregon,Iona,Oregon
2017,R64,Purdue,Vermont,Purdue
2017,R64,SMU,USC,USC
2017,R64,Saint Mary's,VCU,Saint Mary's
